Kod stacji,Nazwa stacji2,Rzeka/akwen,Status1,Stan aktualny,Czas pomiaru,Trend,Δ 1h,Δ 3h,Δ 6h,Δ 12h,Δ 06:00-06:00 UTC,Stan ostrzegawczy,Stan alarmowy,Zlewnia,Województwo,Powiat,Od/do progu ostrzegawczego,Od/do progu alarmowego,Od/do absolutnego minimum,Prognoza synoptyczna,Prognoza z modelu HD,Zjawiska lodowe,lat,lon
151160200,Korzeńsko,Orla (146),,262 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,4 cm,-6 cm,220 cm,260 cm,Orla,dolnośląskie,trzebnicki,42 cm,2 cm,204 cm,-,-,-,51.5392,16.8725
151170070,Odolanów,Barycz (14),,128 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,0 cm,-1 cm,-3 cm,90 cm,120 cm,Barycz,wielkopolskie,ostrowski,38 cm,8 cm,127 cm,-,-,-,51.5756,17.67
152140010,Bielinek,Odra (1),,485 cm,pn, 2024-10-07 20:20 UTC,,-,-2 cm,-5 cm,-10 cm,-19 cm,480 cm,550 cm,-,zachodniopomorskie,gryfiński,5 cm,-65 cm,345 cm,475 cm (wt, 2024-10-08 06:00 UTC)447 cm (śr, 2024-10-09 06:00 UTC)422 cm (cz, 2024-10-10 06:00 UTC),474 cm (wt, 2024-10-08 06:00 UTC)446 cm (śr, 2024-10-09 06:00 UTC)423 cm (cz, 2024-10-10 06:00 UTC),-,52.9292,14.1542
150160280,Borów,Ślęza (1336),,186 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,-1 cm,-3 cm,-7 cm,160 cm,200 cm,Ślęza,dolnośląskie,strzeliński,26 cm,-14 cm,125 cm,-,183 cm (wt, 2024-10-08 06:00 UTC)180 cm (śr, 2024-10-09 06:00 UTC)181 cm (cz, 2024-10-10 06:00 UTC),-,50.8889,16.9906
152140020,Gozdowice,Odra (1),,443 cm,pn, 2024-10-07 20:20 UTC,,-,-3 cm,-5 cm,-10 cm,-14 cm,440 cm,500 cm,-,zachodniopomorskie,gryfiński,3 cm,-57 cm,370 cm,433 cm (wt, 2024-10-08 06:00 UTC)412 cm (śr, 2024-10-09 06:00 UTC)398 cm (cz, 2024-10-10 06:00 UTC),434 cm (wt, 2024-10-08 06:00 UTC)414 cm (śr, 2024-10-09 06:00 UTC)399 cm (cz, 2024-10-10 06:00 UTC),-,52.7642,14.3178
151170050,Zbytowa,Widawa (136),,311 cm,pn, 2024-10-07 20:20 UTC,,-,1 cm,2 cm,5 cm,9 cm,310 cm,350 cm,Widawa,dolnośląskie,oleśnicki,1 cm,-39 cm,153 cm,-,310 cm (wt, 2024-10-08 06:00 UTC)286 cm (śr, 2024-10-09 06:00 UTC)283 cm (cz, 2024-10-10 06:00 UTC),-,51.1058,17.4067
152140090,Biała Góra,Odra (1),,-,-,-,-,-,-,-,-,360 cm,470 cm,Odra od Bobru do Warty,lubuskie,słubicki,-,-,-,-,309 cm (wt, 2024-10-08 06:00 UTC)304 cm (śr, 2024-10-09 06:00 UTC)308 cm (cz, 2024-10-10 06:00 UTC),-,52.0933,14.7272
150160250,Białobrzezie,Ślęza (1336),,85 cm,pn, 2024-10-07 20:20 UTC,,-,-3 cm,-5 cm,-8 cm,-11 cm,90 cm,120 cm,Ślęza,dolnośląskie,strzeliński,-5 cm,-35 cm,65 cm,-,-,-,50.8022,16.8922
153170010,Białośliwie,Noteć (188),,253 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,1 cm,1 cm,1 cm,280 cm,330 cm,Noteć od Łobżonki do Gwdy,wielkopolskie,pilski,-27 cm,-77 cm,155 cm,-,-,-,53.0736,17.1247
151210130,Bór,Wyżnica (2336),,168 cm,pn, 2024-10-07 20:20 UTC,,-,0 cm,1 cm,1 cm,2 cm,-,-,Wisła od Sanu do Wieprza,lubelskie,opolski,-,-,51 cm,-,-,-,51.0142,21.8781
